CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
0,Sun,20,2018,1,0,73,1000,0,33,20
0,Sun,21,2022,0,0,37,520,0,36,10
0,Sun,21,2021,1,0,101,1154,0,41,26
0,Sun,21,2020,1,0,77,911,0,43,12
0,Sun,21,2019,0,0,53,1005,0,39,12
0,Sun,21,2018,0,0,61,1024,0,25,11
0,Sun,22,2022,2,0,41,522,0,26,9
0,Sun,22,2021,0,0,63,983,0,29,13
0,Sun,22,2020,1,0,78,722,0,34,18
0,Sun,22,2019,0,0,65,946,0,53,15
0,Sun,22,2018,1,0,68,894,0,14,5
0,Sun,23,2022,0,0,30,401,0,20,6
0,Sun,23,2021,1,0,118,795,0,28,17
0,Sun,23,2020,2,0,55,625,0,8,13
0,Sun,23,2019,1,0,44,646,0,22,12
0,Sun,23,2018,3,0,42,686,0,22,12
1,Mon,0,2022,0,0,24,311,0,17,5
1,Mon,0,2021,1,0,87,587,0,36,13
1,Mon,0,2020,0,0,65,510,0,21,10
1,Mon,0,2019,0,0,38,453,0,14,4
1,Mon,0,2018,1,0,42,500,0,17,6
1,Mon,1,2022,1,0,29,232,0,8,6
1,Mon,1,2021,2,0,39,551,0,37,9
1,Mon,1,2020,1,0,47,376,0,13,9
1,Mon,1,2019,1,0,26,376,0,15,9
1,Mon,1,2018,0,0,34,487,0,12,11
1,Mon,2,2022,0,0,21,169,0,6,7
1,Mon,2,2021,1,0,35,323,0,7,14
1,Mon,2,2020,2,0,35,242,0,12,4
1,Mon,2,2019,2,0,28,316,0,29,2
1,Mon,2,2018,3,0,19,365,0,8,12
1,Mon,3,2022,1,0,11,128,0,1,7
1,Mon,3,2021,0,0,18,211,0,3,2
1,Mon,3,2020,1,0,12,178,0,9,6
1,Mon,3,2019,1,0,24,209,0,10,8
1,Mon,3,2018,2,0,27,264,0,13,9
1,Mon,4,2022,0,0,19,126,0,6,2
1,Mon,4,2021,1,0,19,250,0,4,5
1,Mon,4,2020,0,0,21,167,0,6,3
1,Mon,4,2019,0,0,18,259,0,10,5
1,Mon,4,2018,1,0,23,268,0,9,5
1,Mon,5,2022,1,0,16,162,0,2,0
1,Mon,5,2021,0,0,18,329,0,4,8
1,Mon,5,2020,0,0,21,312,0,10,3
1,Mon,5,2019,1,0,28,399,0,5,7
1,Mon,5,2018,1,0,22,416,0,28,5
1,Mon,6,2022,0,0,15,285,0,4,4
1,Mon,6,2021,1,0,33,511,0,18,15
1,Mon,6,2020,0,0,18,504,0,15,8
1,Mon,6,2019,0,0,34,961,0,30,5
1,Mon,6,2018,0,0,32,793,0,36,9
1,Mon,7,2022,0,0,39,829,0,21,2
1,Mon,7,2021,0,0,64,1174,0,28,7
1,Mon,7,2020,0,0,35,858,0,26,14
1,Mon,7,2019,1,0,87,1949,0,55,9
1,Mon,7,2018,1,0,87,2221,0,51,14
1,Mon,8,2022,0,0,62,1117,0,32,5
1,Mon,8,2021,2,0,71,1525,0,46,12
1,Mon,8,2020,0,0,54,997,0,29,11
1,Mon,8,2019,2,0,106,2341,0,64,20
1,Mon,8,2018,0,0,123,2592,0,92,22
1,Mon,9,2022,0,0,36,805,0,33,4
1,Mon,9,2021,0,0,100,1318,0,49,13
1,Mon,9,2020,0,0,59,917,0,22,7
1,Mon,9,2019,2,0,93,1684,0,48,12
1,Mon,9,2018,1,0,83,1846,0,50,20
1,Mon,10,2022,0,0,38,669,0,22,4
1,Mon,10,2021,0,0,55,1296,0,37,8
1,Mon,10,2020,0,0,49,979,0,42,9
1,Mon,10,2019,0,0,68,1500,0,36,13
1,Mon,10,2018,0,0,80,1532,0,40,12
1,Mon,11,2022,0,0,40,702,0,36,3
1,Mon,11,2021,3,0,60,1572,0,39,21
1,Mon,11,2020,0,0,73,1289,0,48,17
1,Mon,11,2019,1,0,69,1566,0,42,26
1,Mon,11,2018,0,0,71,1699,0,63,16
1,Mon,12,2022,0,0,45,952,0,20,17
1,Mon,12,2021,1,0,100,1683,0,43,15
1,Mon,12,2020,1,0,97,1563,0,54,16
1,Mon,12,2019,1,0,64,1917,0,42,16
1,Mon,12,2018,0,0,88,1982,0,69,10
